   1.0000000000000000       0.27067056647322540        9.7208874698216929E-002   9.7208874698216929E-002
  0.50000000000000000       0.35041019540580870        1.7469245765633634E-002   6.9876983062534537E-002
  0.33333333333333331       0.36064762228687658        7.2318188845657549E-003   6.5086369961091795E-002
  0.25000000000000000       0.36391511835445245        3.9643228169898848E-003   6.3429165071838156E-002
  0.20000000000000001       0.36537282029637308        2.5066208750692542E-003   6.2665521876731342E-002
  0.16666666666666666       0.36615022992819446        1.7292112432478746E-003   6.2251604756923484E-002
  0.14285714285714285       0.36661408745456481        1.2653537168775264E-003   6.2002332126998801E-002
  0.12500000000000000       0.36691318073621360        9.6626043522873850E-004   6.1840667854639264E-002
  0.11111111111111110       0.36711734379614241        7.6209737529991939E-004   6.1729887399293470E-002
  0.10000000000000001       0.36726293442395502        6.1650674748731094E-004   6.1650674748731080E-002
